Fish Species,Temperature (°C),pH,Turbidity (NTU),Dissolved Oxygen (mg/L),Salinity (ppt),Ammonia (%),Nitrates (%)
Salmon,10.0,,6.44,9.85,17.24,1.95,
Clownfish,26.08,8.27,3.77,7.32,34.61,0.71,9.45
Bass,18.38,7.46,14.33,4.12,,,9.09
Tilapia,23.39,7.354624775701166,19.66,6.32,1.57,2.46,34.95
Goldfish,24.42,7.59,17.6,5.82,2.47,0.52,5.86
,,7.99,11.72,6.22,2.87,0.03,46.78
Trout,10.5,6.91,9.11,11.78,3.96,1.44,8.82
Salmon,9.9,6.55,6.06,11.68,23.77,1.97,19.28
Clownfish,26.22,8.01,3.95,5.67,33.01,2.18,1.25
Eel,18.79,7.85,27.86,4.79,19.04,0.44,21.2
Salmon,12.63,7.06,5.69,7.27,11.0,2.77,46.74
Eel,12.07,7.51,21.02,4.45,8.38,2.03,48.39
Trout,11.76,7.23,1.99,10.36,0.36,0.94,30.3
Trout,11.15,6.63,4.48,7.2,,2.59,17.62
Eel,7.26,7.26,12.35,3.75,18.22,2.79,10.55
Clownfish,,7.91,,7.36,28.75,2.3,
Eel,20.85,7.59,,5.75,16.12,0.65,19.74
Trout,12.76,6.5,0.93,7.91,0.04,0.34,21.69
Clownfish,27.5,8.14,0.76,6.32,28.71,,18.64
Catfish,20.65,7.54,38.13,5.47,7.673345535040385,2.18,8.29
,8.47,7.14,2.93,8.09,19.4,1.76,33.31
Eel,5.81,6.16,14.28,4.34,16.73,1.09,9.65
Eel,21.41,6.46,10.14,4.06,,2.98,0.6
Bass,24.95,6.31,31.18,4.94,4.82,0.72,20.19
Catfish,27.86,7.48,8.52,4.08,2.94,2.17,4.84
Salmon,12.44,6.59,4.34,11.31,28.37,0.8,3.85
Tilapia,29.51,7.94,43.11,4.35,,1.12,36.94
,5.37,,21.78,6.04,15.65,0.38,28.59
Bass,15.12,6.43,,5.02,2.32,1.65,41.63
Salmon,8.31,6.78,9.91,10.67,26.87,1.95,8.32
Clownfish,27.28,8.16,1.69,6.0,34.45,1.04,44.0
Salmon,12.87,7.16,5.81,11.87,27.66,2.63,21.48
Goldfish,13.58,8.21,12.0,7.69,2.81,1.48,30.16
Trout,17.04,7.04,4.28,8.34,3.17,0.16,32.81
Bass,18.33,7.04,,6.49,9.26,0.31,
Catfish,22.65,7.09,73.65,6.45,0.28,1.59,28.46
Catfish,21.62,7.02,65.7,4.53,1.78,1.25,41.31
Goldfish,19.95,7.42,16.49,5.68,4.68,0.3,30.16
Tilapia,28.78,6.61,16.58,6.15,3.13,2.92,47.44
Goldfish,21.15,7.98,8.73,6.82,0.6,1.1,25.7
Clownfish,24.2,,3.72,7.44,31.27,2.26,14.57
Clownfish,27.45,7.92,2.12,6.07,34.62,0.36,14.32
Tilapia,27.45,6.63,17.91,5.08,4.49,1.22,19.45
Trout,16.38,7.14,5.96,9.46,1.09,2.44,46.79
Clownfish,27.48,7.95,2.44,6.02,29.84,2.55,31.73
Salmon,14.83,7.48,9.22,11.93,,1.36,0.25
Catfish,27.06,6.72,61.94,6.69,3.17,0.88,3.07
Salmon,12.11,7.15,4.05,7.57,22.03,0.55,13.99
Salmon,14.8,6.84,8.32,7.61,22.92,2.89,48.86
Eel,11.39,6.58,10.66,3.16,21.8,,11.38
Trout,14.29,6.92,7.52,11.75,4.43,0.06,39.46
Tilapia,25.57,7.46,26.71,4.17,3.68,0.0,20.77
Tilapia,24.66,6.87,24.91,7.07,1.04,2.67,33.44
Bass,19.23,,25.24,7.97,4.28,2.03,2.36
Clownfish,24.74,8.4,2.53,7.59,29.89,1.36,16.95
Goldfish,,7.89,13.3,6.79,3.36,2.6,
Trout,11.84,6.99,1.81,8.82,0.97,1.24,
Eel,,6.55,13.05,5.69,15.92,0.05,47.48
Bass,18.76,7.31,23.07,8.69,5.56,0.92,47.82
Tilapia,22.09,7.6,,6.96,2.93,1.6,
Goldfish,16.49,7.37,17.06,5.55,1.67,2.38,33.51
Tilapia,24.51,7.66,38.44,7.94,2.17,2.79,20.51
Tilapia,27.85,7.35,26.8,6.88,2.87,,
Goldfish,21.66,7.12,14.15,7.36,2.29,0.32,5.31
Eel,20.52,7.94,14.99,4.95,7.36,1.15,36.47
Bass,17.47,6.72,36.58,9.9,4.01,0.22,8.41
Clownfish,26.63,7.9,3.34,5.01,30.9,0.7,16.83
Eel,5.93,7.43,21.4,7.33,17.67,2.33,30.1
Salmon,14.96,7.48,4.65,6.68,26.41,2.25,
Salmon,9.89,6.77,3.61,9.04,34.54,1.07,16.1
Clownfish,26.52,8.11,2.98,6.48,30.74,0.97,18.87
Clownfish,27.97,7.81,4.21,7.86,30.77,0.04,46.1
Tilapia,28.64,7.94,40.51,6.9,0.86,2.99,27.02
Goldfish,,7.24,19.5,6.19,2.93,1.1,21.8
Catfish,,7.56,69.29,3.56,1.08,2.55,6.89
Bass,18.46,7.32,46.24,4.12,6.93,0.62,47.3
Eel,11.49,6.6,15.0,3.32,14.06,2.54,24.18
Clownfish,24.14,8.07,4.39,6.13,,0.24,24.36
Salmon,8.76,7.35,2.68,9.59,14.9,0.7,46.98
Bass,19.78,,9.29,5.59,,2.61,44.06
Eel,8.8,,25.04,5.1,20.99,2.2,41.63
Bass,24.27,7.21,13.98,5.67,0.36,1.92,28.36
Catfish,,7.06,90.12,5.4,3.62,1.6,42.54
Clownfish,24.57,8.39,2.06,6.15,29.15,0.49,3.94
Salmon,13.27,6.64,2.09,9.74,18.71,2.13,30.7
Salmon,10.98,,0.62,8.23,22.49,,13.86
Eel,14.43,7.8,22.89,7.6,15.9,2.22,38.89
Salmon,10.69,6.69,0.57,9.83,11.88,2.77,8.49
Catfish,26.95,6.73,78.15,6.38,2.84,1.42,19.76
Trout,16.57,7.48,7.05,9.8,1.14,2.53,19.21
Eel,,6.46,16.14,3.81,13.86,2.72,47.03
Salmon,14.77,6.69,2.59,,18.51,0.55,21.17
Eel,9.13,6.52,21.43,6.3,26.69,1.26,12.45
Bass,,7.17,8.61,4.11,2.95,0.48,18.0
Eel,,6.67,11.31,4.96,20.34,0.11,16.19
Bass,15.06,6.74,21.45,9.12,8.58,0.15,10.51
Goldfish,16.35,7.69,12.47,7.7,4.89,,39.2
Catfish,27.93,6.44,58.47,4.14,4.2,2.2,33.37
Catfish,,6.76,23.61,4.78,2.3,1.85,41.53
Salmon,,7.34,2.74,11.22,28.45,1.79,32.31
Trout,13.34,6.72,8.72,11.18,1.18,2.02,48.76
Clownfish,25.23,8.35,2.91,,30.68,1.35,39.15
Bass,16.8,7.21,6.82,8.98,3.54,1.64,41.52
Salmon,8.56,7.48,,7.94,33.0,2.26,43.06
Eel,10.65,6.63,29.59,4.79,28.69,0.06,17.57
Salmon,11.17,6.63,6.79,8.94,18.78,0.68,5.88
Trout,17.7,5.298830621401951,8.48,11.86,4.77,1.12,33.36
Bass,17.73,6.07,47.84,4.41,2.41,0.1,0.72
Clownfish,27.61,7.92,1.74,5.29,33.95,,11.92
Bass,23.53,6.1,25.2,4.44,6.3,1.06,40.4
Tilapia,23.84,,26.48,7.98,4.15,2.86,1.57
Goldfish,11.15,8.0,,5.54,3.28,1.33,46.86
Tilapia,29.9,7.6,42.86,6.42,0.59,2.05,
Trout,16.57,7.21,8.06,7.47,1.76,0.23,40.86
Goldfish,18.65,,6.28,6.37,0.17,0.41,28.1
Eel,14.76,7.57,12.32,4.77,27.83,0.9,3.65
Trout,11.92,7.35,7.21,9.09,3.58,2.27,14.89
Tilapia,22.27,7.9,49.17,7.08,3.79,2.62,41.42
Tilapia,23.16,7.44,37.76,4.35,1.13,1.14,0.29
Salmon,11.19,6.54,5.51,9.95,18.87,2.52,32.71
Clownfish,25.66,8.21,3.34,7.04,29.22,1.42,40.87
Catfish,21.48,,,5.63,1.83,2.06,10.86
Bass,20.17,7.1,31.73,9.93,3.99,0.04,9.53
Eel,16.27,6.32,10.63,6.09,12.83,1.73,36.01
Tilapia,23.16,6.99,44.64,4.31,1.01,0.46,37.18
Catfish,20.92,7.42,89.05,,,0.65,40.17
Bass,15.65,6.2,48.56,9.25,7.59,1.42,30.53
Tilapia,24.49,7.11,34.24,7.24,4.06,2.69,40.28
Clownfish,24.26,8.1,4.2,7.35,33.5,1.81,41.91
Clownfish,25.52,7.9,3.08,5.79,32.14,2.52,20.91
Eel,,6.48,21.59,3.68,21.01,0.31,47.14
Eel,18.25,7.39,10.37,4.17,18.09,0.25,15.58
Goldfish,15.77,7.82,10.14,,1.79,2.26,5.08
,24.39,8.17,1.44,7.36,31.77,0.89,14.94
Tilapia,23.83,7.32,12.07,7.82,0.77,0.55,
Salmon,14.7,6.69,2.53,8.5,27.43,2.97,43.18
Goldfish,18.58,7.43,13.32,5.16,4.81,0.63,12.84
Eel,12.19,6.67,17.92,,9.03,2.62,25.71
Bass,24.03,6.16,14.61,7.25,4.15,0.14,21.44
Trout,13.17,6.64,1.21,11.54,3.39,1.16,48.79
Tilapia,29.04,6.99,44.23,5.26,3.5,2.52,0.13
Bass,22.36,6.41,21.59,5.19,1.18,1.32,30.07
Trout,11.43,7.21,7.71,9.08,43.03088681981086,,11.7
Goldfish,20.29,7.89,,7.64,4.18,0.95,43.98
,12.68,6.64,6.89,6.91,24.78,0.05,18.1
Bass,18.59,7.46,18.85,6.59,7.58,0.45,31.67
Goldfish,23.51,8.41,14.94,6.33,4.75,0.79,18.72
Salmon,14.8,7.14,,7.43,14.47,2.33,5.36
Eel,16.46,6.18,27.89,5.84,14.87,2.35,9.0
Clownfish,26.89,8.39,3.74,5.72,32.64,0.37,24.18
Catfish,24.78,7.61,38.07,5.79,2.49,2.69,
Catfish,20.0,6.85,15.89,3.08,3.12,0.75,31.23
Eel,8.36,6.18,22.11,4.71,24.31,2.94,
Clownfish,27.39,8.07,1.83,5.01,29.65,0.2,30.04
Clownfish,26.71,8.35,0.29,7.02,29.18,0.34,32.98
Clownfish,26.54,7.89,1.53,5.02,30.46,1.03,21.34
Clownfish,25.29,8.28,,6.69,33.27,2.05,20.97
Salmon,13.0,7.42,6.53,6.14,16.8,2.47,21.51
Tilapia,29.35,7.44,23.58,4.27,,1.36,32.28
Trout,16.45,7.49,3.45,7.55,1.62,2.25,6.37
Eel,7.13,7.22,155.19694422418053,5.54,8.44,0.0,39.73
Eel,11.71,6.63,21.27,3.04,20.77,0.06,14.11
Salmon,12.66,6.79,0.56,10.76,29.7,2.31,
Tilapia,,7.07,10.28,6.88,0.13,1.93,8.91
,16.18,,15.5,4.44,15.17,2.03,7.53
Eel,9.19,6.2,21.58,3.69,11.82,1.93,35.23
Tilapia,,7.75,,8.468269238594038,1.7,0.16,40.64
Clownfish,,8.37,0.47,6.88,33.5,0.56,10.05
Salmon,8.76,7.42,8.71,11.16,25.93,1.39,4.14
Bass,24.83,7.34,,4.48,5.85,,42.74
Trout,16.75,7.01,0.41,8.36,2.49,2.62,47.24
,21.07,6.35,19.95,5.39,5.32,,33.74
Trout,10.94,7.36,1.94,7.52,1.07,0.18,18.47
Catfish,22.3,7.08,52.58,5.18,1.47,2.15,43.22
Tilapia,,6.59,39.29,4.93,2.24,0.87,4.96
Goldfish,20.12,8.09,18.48,6.38,4.37,1.15,5.43
Trout,17.01,6.63,0.42,,1.36,0.44,29.97
Salmon,8.91,7.09,8.23,8.02,,0.26,41.52
Clownfish,27.44,8.12,3.2,7.46,,0.87,38.1
Goldfish,12.94,7.19,7.62,7.06,2.15,1.5,27.57
Catfish,25.99,6.4,30.21,5.56,1.32,2.37,27.51
Catfish,26.48,7.78,83.33,6.55,0.16,2.89,17.79
Goldfish,17.92,8.19,14.86,7.78,2.89,0.81,27.74
Goldfish,14.84,7.53,15.69,7.49,1.22,0.55,8.67
Salmon,10.66,6.77,3.54,9.74,33.71,2.81,14.03
Clownfish,,8.04,2.7,6.96,31.4,1.22,17.65
Goldfish,16.06,7.09,,5.06,4.02,1.57,11.8
Bass,21.67,6.48,38.91,9.73,9.11,0.33,29.71
,24.03,7.49,14.69,7.15,0.69,2.38,26.92
Eel,,7.85,22.92,3.27,28.69,1.02,46.38
Eel,6.57,7.29,11.15,3.34,6.7,0.26,44.09
Bass,22.39,6.17,42.07,8.55,,0.6,13.07
Eel,15.82,6.49,27.9,7.79,12.06,2.67,7.34
Trout,17.72,6.57,6.88,11.08,0.5,,28.65
Trout,14.35,6.98,1.9,8.67,2.71,0.06,2.71
Bass,21.93,6.92,29.5,4.51,6.03,0.22,12.32
Eel,11.79,7.8,11.14,7.67,5.75,0.66,17.71
Bass,16.32,7.43,46.03,8.39,7.62,2.6,8.77
Bass,23.99,6.96,18.9,7.47,0.96,0.98,45.89
Tilapia,22.98,6.61,31.04,5.98,1.0,0.53,36.5
,21.73,6.26,26.55,,14.34,1.19,37.36
Bass,18.03,6.94,7.99,6.58,0.63,0.22,29.45
Clownfish,25.57,8.22,0.03,7.0,32.15,2.99,15.23
Tilapia,23.1,6.75,14.32,6.89,0.9,2.29,45.67
Salmon,10.19,7.5346763048294605,8.09,,31.67,0.95,24.14
Salmon,8.7,6.76,0.68,10.07,34.17,0.71,18.93
Clownfish,26.58,7.94,3.18,5.64,31.68,2.23,14.21
Bass,20.5,7.11,28.21,7.44,3.34,1.87,34.97
Goldfish,17.98,7.06,10.68,5.66,2.16,2.62,5.87
Clownfish,26.72,7.93,1.55,6.79,34.1,2.76,29.71
Tilapia,29.85,7.04,13.47,4.01,3.7,0.82,37.86
Trout,17.11,6.95,8.62,9.44,,1.82,34.71
Salmon,13.1,6.56,6.34,6.11,33.17,1.6,29.99
Goldfish,10.1,7.94,12.54,6.75,4.98,2.39,4.8
Eel,24.31,6.1,21.12,7.12,16.76,0.47,19.81
Catfish,25.78,6.48,13.81,3.37,0.99,0.47,1.02
Bass,23.46,6.73,29.98,9.39,0.26,1.02,14.35
Bass,22.33,7.2,10.64,,,2.87,45.21
Salmon,12.1,6.74,6.65,7.57,28.77,1.24,33.29
Trout,11.39,6.74,9.15,,1.08,0.22,13.28
Tilapia,26.19,7.89,19.38,4.28,,1.1,47.45
Catfish,23.76,6.59,36.85,3.42,1.73,2.23,45.29
Bass,23.33,7.49,37.28,8.58,5.52,0.89,
Salmon,11.8,6.75,6.16,6.85,30.78,2.47,3.1
Goldfish,11.64,7.66,15.4,7.04,3.7,0.44,7.36
Eel,23.94,6.02,23.39,3.65,19.71,1.31,7.86
Salmon,10.74,6.7,0.13,9.01,31.26,0.53,9.56
Bass,16.38,6.81,42.05,7.33,2.36,0.06,35.33
Trout,17.39,6.6,8.96,10.55,2.26,2.94,21.86
Eel,8.58,6.4,19.99,4.27,8.39,0.61,49.79
Trout,13.14,7.4,9.83,10.43,1.36,0.61,43.31
Catfish,22.12,6.66,16.04,6.56,0.29,2.66,0.43
Goldfish,12.29,7.31,15.23,6.35,1.86,2.69,35.38
Bass,24.13,6.85,12.08,5.04,6.78,1.49,32.43
Catfish,27.44,6.99,60.21,6.55,2.06,2.9,
Trout,17.1,7.03,1.44,7.39,1.48,0.96,35.42
Eel,,7.78,15.95,3.53,8.98,2.62,39.77
Tilapia,25.48,6.77,41.51,5.22,0.88,1.11,30.74
Trout,,6.7,0.24,9.66,0.2,0.18,22.89
Goldfish,11.38,7.34,18.24,5.87,0.56,,34.64
Catfish,20.92,7.19,5.8,3.89,3.27,1.28,44.0
Trout,-3.2962315375656592,7.07,6.4,10.06,0.97,1.48,10.01
Goldfish,24.38,8.1,7.33,6.65,1.36,1.2,25.59
Catfish,23.3,7.88,73.06,3.68,2.23,0.6,43.9
Tilapia,27.95,6.65,28.95,5.78,1.87,0.84,23.97
Bass,20.87,,11.43,9.55,8.09,0.97,1.33
Catfish,21.21,6.37,5.43,5.33,1.47,0.21,31.15
Salmon,9.35,7.09,8.25,11.96,13.23,1.62,9.62
Eel,21.02,6.23,22.44,4.49,27.62,1.14,22.15
Eel,6.57,6.27,17.5,3.14,20.44,1.45,8.23
Clownfish,26.49,8.39,0.2,7.34,28.79,1.73,28.1
Goldfish,11.91,7.74,14.65,7.45,1.58,0.93,
Eel,5.33,6.32,15.4,4.42,15.99,1.67,0.79
Catfish,20.88,7.65,80.79,6.18,0.71,1.75,37.09
Salmon,14.12,7.27,8.04,8.16,21.79,2.06,44.3
Catfish,25.63,6.45,33.41,5.15,4.79,0.13,
Catfish,20.49,7.45,96.33,4.04,1.84,0.96,17.05
Eel,5.31,7.76,26.75,7.53,20.03,0.94,25.3
Salmon,13.4,,,8.41,33.36,2.23,32.43
Eel,14.71,7.81,11.06,7.31,11.51,0.53,26.32
Clownfish,25.26,7.99,3.07,6.7,,0.65,15.56
Bass,23.4,6.47,35.64,4.62,7.87,1.89,16.56
Bass,16.44,6.83,47.54,6.76,1.39,0.94,18.18
Clownfish,26.08,8.36,0.86,7.34,29.63,1.77,29.45
Bass,16.68,7.48,18.16,6.95,2.56,1.09,38.96
Salmon,14.89,6.88,6.99,9.2,15.51,1.83,41.31
Bass,18.19,6.43,10.72,5.74,9.67,0.77,41.87
Trout,13.75,7.27,6.09,7.42,1.08,2.44,33.49
Eel,19.72,6.51,17.64,5.32,7.48,0.44,6.53
Tilapia,26.72,7.76,17.19,5.58,,1.64,49.74
Goldfish,12.95,7.78,18.84,6.22,1.96,0.82,33.55
,10.6,7.07,1.96,10.15,0.83,1.19,40.28
Goldfish,16.66,8.33,9.02,7.88,4.06,2.36,2.69
Bass,19.32,6.13,38.23,4.02,2.42,2.78,13.64
Catfish,24.65,7.32,93.53,4.17,3.37,1.97,4.19
Trout,13.32,7.25,4.67,10.88,1.02,2.48,0.18
Trout,15.36,6.71,1.59,11.17,0.5,2.55,20.61
Catfish,20.86,7.11,32.38,5.71,1.21,2.82,0.02
Trout,10.6,6.79,,10.06,4.35,0.31,5.64
Tilapia,28.0,7.12,12.36,6.27,0.42,1.4,
Catfish,22.13,6.22,59.48,6.51,0.05,0.17,
Clownfish,27.79,8.23,3.75,5.41,33.11,0.67,15.39
Clownfish,24.5,8.05,4.91,,28.45,1.09,46.64
Catfish,20.93,6.66,,4.11,1.08,0.99,48.83
Tilapia,28.74,7.04,24.75,6.16,2.05,0.46,10.88
Trout,16.04,6.52,0.99,7.73,0.04,0.3,37.19
Tilapia,23.08,7.06,10.61,,1.93,1.03,42.66
Salmon,9.02,6.67,3.26,8.89,25.35,0.69,19.97
Tilapia,24.67,7.86,,7.41,4.87,0.58,6.96
Eel,8.64,6.94,28.4,4.77,6.97,2.69,
Bass,18.12,6.61,19.73,4.21,4.66,2.33,5.91
Goldfish,14.67,8.47,7.25,7.07,0.18,1.54,12.39
Goldfish,17.52,8.36,11.99,6.75,1.48,1.49,39.78
Salmon,10.53,7.35,6.31,9.45,13.91,2.17,2.58
Eel,15.26,6.45,22.62,4.43,6.96,2.41,6.28
Catfish,20.53,6.01,15.07,6.03,2.39,2.82,16.95
Goldfish,14.89,7.14,11.16,7.5,1.3,1.35,5.51
Catfish,23.32,7.51,77.76,6.87,2.83,1.34,3.91
Trout,12.1,7.46,2.94,11.39,3.32,0.45,29.2
Salmon,8.44,,6.06,7.99,16.35,2.97,
Bass,24.51,6.75,23.46,6.6,4.67,0.11,32.3
Bass,23.18,6.61,31.2,6.0,4.19,0.24,7.87
Bass,15.52,6.23,8.75,5.84,6.11,0.01,1.39
Clownfish,27.77,8.38,1.58,7.42,30.47,2.39,26.35
Bass,24.79,6.24,19.1,6.97,7.87,0.9,15.31
Salmon,8.28,7.13,8.39,6.36,19.33,0.85,22.75
Bass,15.47,6.03,24.91,4.08,8.39,1.67,35.49
Catfish,,7.17,14.04,6.84,0.45,0.79,26.02
Catfish,24.13,6.92,30.08,6.72,4.84,0.46,24.93
Eel,,6.8,16.53,3.72,19.29,2.85,24.48
Bass,15.03,6.36,,6.7,3.56,1.64,49.42
Catfish,23.6,,25.9,4.9,3.15,0.74,10.46
Eel,6.94,7.32,24.21,5.34,18.95,2.21,29.06
Tilapia,24.22,7.08,16.96,6.64,3.66,2.46,6.32
Trout,15.27,7.41,4.21,9.67,0.57,1.4,18.74
Goldfish,24.36,7.24,16.15,5.4,3.58,2.65,31.06
Tilapia,28.18,6.86,30.66,6.06,2.88,2.81,29.32
Eel,22.17,7.82,13.52,6.03,26.08,1.54,10.28
Eel,8.76,7.86,20.86,5.64,23.5,2.44,46.05
Tilapia,26.21,7.31,41.72,6.86,0.34,1.87,16.22
Catfish,23.77,7.97,70.02,6.31,3.92,1.41,31.65
Tilapia,22.97,,26.47,,4.06,1.29,41.45
Tilapia,24.76,7.65,47.7,4.4,4.77,1.83,13.32
Catfish,24.72,7.55,69.06,3.58,0.45,0.98,31.0
Bass,22.38,6.5,25.62,4.53,7.02,2.26,42.12
Tilapia,23.39,7.43,29.08,4.87,0.76,0.33,2.79
Bass,21.41,6.51,34.96,4.62,7.74,2.82,40.53
Trout,16.41,6.55,1.29,8.4,3.88,1.97,24.77
Goldfish,22.28,7.17,17.54,7.41,3.5,2.55,7.89
Salmon,10.38,7.41,,8.64,18.75,1.37,48.34
Eel,22.45,7.88,13.14,5.67,8.85,1.31,29.97
Catfish,25.11,6.51,96.83,6.54,4.75,1.59,20.42
Trout,10.12,6.62,4.54,11.44,0.31,1.48,48.15
Salmon,13.6,6.62,8.16,9.91,29.0,2.92,29.49
Goldfish,14.52,7.66,19.47,6.56,0.99,0.04,2.49
Catfish,21.87,7.97,85.93,3.17,2.31,1.03,44.26
,22.12,7.92,46.47,6.98,3.17,1.72,12.27
Eel,24.21,6.23,17.86,7.12,24.59,1.82,16.44
Salmon,8.89,7.39,7.82,9.35,10.4,2.99,29.01
Eel,9.07,7.72,10.23,3.52,8.87,1.37,15.99
Clownfish,,7.89,2.65,5.67,34.84,0.69,14.43
Bass,23.93,7.36,19.15,7.77,9.99,1.33,39.0
Bass,,7.43,29.56,5.98,4.03,1.71,45.64
Catfish,21.27,6.06,45.21,3.64,3.19,2.75,36.17
Goldfish,14.23,8.11,16.7,5.09,1.31,1.55,32.85
Bass,,6.76,43.44,9.95,,2.14,38.63
Salmon,13.98,6.55,1.72,9.19,15.01,0.03,42.76
Eel,21.19,6.6,17.62,5.96,26.32,2.08,20.97
Salmon,11.36,6.9,4.23,6.83,34.02,2.27,21.1
Trout,11.65,6.73,5.73,11.75,2.29,1.03,21.53
Bass,23.39,6.95,28.34,4.91,5.59,2.9,5.03
Tilapia,22.26,7.27,17.7,7.69,1.84,0.06,25.6
Salmon,14.91,6.52,0.17,7.22,23.84,2.74,49.45
Catfish,21.18,,89.7,3.2,2.1,1.45,38.36
Catfish,27.78,6.7,40.75,3.8,2.11,1.51,23.91
Salmon,9.1,7.05,4.9,6.3,14.64,2.03,38.67
Clownfish,26.21,8.18,0.3,6.19,,1.75,46.02
Eel,10.36,6.15,12.8,3.72,7.12,0.39,24.81
Trout,16.32,6.79,,8.68,2.36,2.62,1.68
Tilapia,23.74,7.17,20.93,6.74,0.38,0.77,27.01
Salmon,10.98,7.09,7.28,10.87,26.74,1.59,22.38
Trout,,7.06,1.21,9.57,2.98,0.71,9.75
Goldfish,12.57,7.86,16.61,6.05,2.92,0.1,9.43
Goldfish,12.18,7.65,10.07,7.8,4.11,1.82,31.45
Goldfish,18.42,7.49,11.78,5.07,3.42,,10.72
Eel,16.67,7.62,16.68,6.08,9.85,1.91,13.59
Eel,13.32,6.79,22.04,5.02,15.75,0.54,22.59
Goldfish,12.49,7.58,6.06,7.15,4.6,1.7,36.92
Trout,15.12,6.77,4.72,7.23,2.91,1.51,25.63
Goldfish,11.11,8.37,19.57,6.79,0.06,0.63,46.37
Goldfish,10.13,7.96,14.5,5.82,4.85,1.22,21.4
Clownfish,27.71,7.83,4.34,7.05,31.41,1.97,49.44
Trout,11.89,6.53,1.45,8.42,3.01,0.95,22.17
Salmon,8.96,7.33,3.39,7.34,16.25,0.28,34.93
Trout,15.09,7.44,5.71,7.21,3.17,1.28,23.85
Goldfish,12.63,7.42,10.07,,3.14,1.18,38.28
Clownfish,27.24,7.9,1.01,6.27,,2.44,29.8
Eel,17.23,6.31,22.89,4.42,17.78,0.16,4.89
Clownfish,24.75,,1.18,6.97,32.83,0.61,38.8
Trout,17.31,7.5,7.45,,3.65,0.6,29.65
Trout,17.63,7.07,3.87,11.71,4.2,0.29,1.91
Catfish,24.2,7.22,62.31,6.73,4.49,2.66,8.01
Bass,19.21,6.64,46.62,4.43,8.65,2.23,0.64
Tilapia,29.0,6.77,26.65,6.52,1.99,1.78,12.31
Eel,21.54,6.76,26.31,3.76,15.22,1.76,5.89
,29.73,6.74,23.97,4.17,3.9,2.96,5.09
Tilapia,24.56,6.65,18.81,6.47,4.0,0.34,44.89
Tilapia,26.16,7.99,31.35,4.66,1.01,0.43,48.99
Catfish,21.86,7.61,39.32,3.46,1.68,2.08,31.6
Clownfish,24.51,7.92,2.49,7.24,34.89,0.08,21.62
Goldfish,21.14,7.46,15.14,7.39,1.92,1.32,22.96
Tilapia,26.38,6.54,10.58,7.14,0.33,0.92,47.03
Clownfish,25.08,7.83,4.59,6.25,31.65,1.42,25.1
,20.6,6.12,61.18,4.78,3.33,0.08,5.76
Catfish,26.45,7.53,88.45,6.17,3.18,0.04,30.51
Salmon,12.66,7.0,4.58,8.41,17.45,0.02,
Goldfish,10.78,7.75,7.09,6.49,0.49,0.17,45.38
Goldfish,20.23,8.23,,6.73,1.82,2.37,3.93
Salmon,,7.01,6.85,9.65,25.17,0.95,21.24
Bass,23.19,6.74,29.11,4.97,1.33,0.71,21.48
Bass,18.06,,32.14,5.18,8.16,0.13,18.11
Bass,22.76,,37.77,5.23,5.34,0.98,32.59
,15.09,7.71,11.48,3.01,7.1,1.17,20.46
Catfish,27.78,6.5,54.55,5.62,3.17,0.61,47.8
Tilapia,29.37,7.94,44.9,7.42,1.63,2.31,24.48
Trout,,6.84,2.82,9.61,2.69,2.08,9.94
Trout,16.42,7.08,6.07,9.13,3.39,0.98,14.05
Clownfish,25.0,8.35,3.67,,28.29,2.56,
Eel,14.23,6.26,23.55,5.27,20.88,2.8,31.76
Salmon,14.48,6.74,,8.45,33.87,2.29,10.1
Clownfish,27.86,8.38,3.46,7.79,32.15,2.28,44.52
Tilapia,26.11,7.16,45.37,5.23,0.81,,32.32
Goldfish,12.91,7.17,5.9,5.73,3.77,1.97,25.51
,8.71,6.63,7.04,9.65,21.09,0.43,31.9
Salmon,14.31,6.99,5.6,7.82,13.85,0.83,36.27
Clownfish,24.86,7.85,,6.78,33.39,1.24,1.91
Tilapia,24.91,7.83,42.62,5.58,2.4,0.68,23.74
Goldfish,17.02,8.45,14.49,5.91,4.02,2.82,0.58
Clownfish,25.85,8.35,3.61,7.95,33.95,2.92,12.59
Eel,5.89,7.94,18.36,6.14,7.75,1.98,28.24
Clownfish,,8.13,3.57,7.78,28.97,2.11,19.41
Bass,15.97,,36.44,9.2,2.16,1.68,11.08
Catfish,23.58,6.32,42.59,,2.0,2.28,16.4
Trout,13.59,7.44,3.73,9.0,0.3,2.79,33.81
Tilapia,22.27,7.25,42.87,5.53,0.51,0.38,8.78
Goldfish,14.74,7.48,7.64,5.06,1.55,1.46,32.9
Trout,11.71,7.3,4.68,8.08,0.02,1.23,1.4
Salmon,10.57,7.21,1.24,,11.84,0.44,36.37
Salmon,12.21,6.55,3.38,10.34,12.2,2.5,27.46
Eel,14.15,7.41,25.9,5.07,15.02,1.98,42.95
Catfish,25.09,7.3,32.64,4.04,2.94,,37.69
Tilapia,23.34,7.46,36.14,6.87,1.7,2.81,32.34
Trout,,7.23,4.73,11.22,3.94,1.58,2.83
Eel,18.84,7.52,19.7,6.24,21.45,2.47,26.88
Goldfish,14.81,8.03,5.3,,3.73,2.25,16.8
Salmon,9.33,7.09,2.9,7.43,18.38,1.42,29.89
,12.25,6.89,0.46,7.64,4.4,2.56,35.86
