Fish Type,Temperature (°C),Turbidity (NTU),pH Level,Ammonia (mg/L),Nitrates (mg/L),Dissolved Oxygen (mg/L)
Trout,12.86,1.68,7.47,0.145,5.31,9.34
Salmon,7.63,1.24,7.07,0.11,15.12,10.91
Goldfish,11.6,1.54,7.6,0.214,29.65,5.22
Catfish,23.65,5.98,7.34,0.458,20.38,3.42
Goldfish,18.77,3.36,6.55,0.265,29.29,5.03
Salmon,6.51,1.3,,0.192,4.44,11.46
Goldfish,21.45,1.98,7.61,0.164,20.89,8.27
Bass,16.71,4.52,7.8,0.144,37.7,5.76
Tilapia,24.68,2.41,6.75,0.498,42.23,7.75
Goldfish,20.97,3.89,6.99,0.347,9.69,8.3
Tilapia,29.96,2.36,7.28,0.492,23.94,6.28
Goldfish,22.8,2.37,7.57,0.487,29.32,6.77
Bass,23.6,3.24,6.74,0.178,31.97,7.52
Goldfish,21.73,1.3,,0.118,15.41,8.69
Salmon,15.66,0.5,7.66,0.157,29.58,11.24
Bass,23.88,5.57,7.26,0.21,27.83,7.57
Salmon,10.88,0.73,7.87,0.09,20.05,10.64
Goldfish,,2.87,7.03,0.432,12.01,6.55
Catfish,23.58,6.26,7.88,0.624,58.01,6.22
Goldfish,11.56,1.62,,0.158,5.51,5.93
Salmon,12.78,0.6,7.72,0.065,1.21,7.63
Goldfish,10.93,1.51,7.53,0.33,2.48,8.32
Tilapia,28.86,1.64,7.43,0.363,30.67,6.79
Trout,9.59,1.07,7.32,0.094,2.83,7.02
Catfish,25.54,5.8,6.82,0.256,57.44,5.04
Tilapia,23.97,1.86,8.38,0.128,,4.73
Bass,18.54,4.41,,0.029,20.39,7.03
Catfish,20.99,9.13,6.83,0.879,17.41,4.51
Goldfish,16.9,2.4,7.53,0.137,32.15,5.23
Catfish,26.34,7.26,6.45,0.71,50.98,4.93
Bass,18.9,1.22,7.91,0.103,34.94,8.44
Bass,26.75,1.24,6.35,0.011,36.4,7.98
Catfish,25.41,8.01,7.12,0.255,33.09,4.42
Catfish,27.11,9.77,7.15,0.806,30.96,6.5
Tilapia,29.71,2.58,7.31,0.396,24.55,7.09
Bass,16.85,3.01,7.83,0.025,22.17,7.64
Salmon,14.92,1.07,7.14,0.08,29.31,11.74
Trout,12.96,1.61,6.98,0.023,2.73,11.65
Tilapia,22.73,3.78,6.75,0.044,11.73,4.83
Goldfish,10.48,3.8,6.76,0.014,37.63,7.58
Catfish,22.53,2.18,6.72,0.564,36.93,6.95
Bass,26.87,5.53,7.78,0.283,26.03,6.54
Salmon,8.51,1.04,7.19,0.064,1.94,10.24
Bass,26.8,4.83,6.3,0.274,48.18,6.35
Tilapia,25.04,2.87,7.33,0.107,13.02,5.56
Salmon,5.78,1.67,7.48,0.065,25.51,9.49
Tilapia,24.54,4.58,8.16,0.351,6.25,6.59
Catfish,20.89,2.82,7.71,0.149,14.17,4.01
Goldfish,23.12,1.09,6.58,,19.17,8.05
Tilapia,,2.85,7.11,0.293,21.74,7.24
Tilapia,,1.73,7.78,0.014,14.37,6.37
Catfish,,6.21,7.13,0.072,40.97,4.56
Goldfish,19.01,,6.68,0.41,38.34,5.2
Catfish,21.81,3.39,7.35,0.7,35.11,6.78
Bass,18.72,4.22,7.08,0.136,44.96,6.39
Trout,11.35,1.24,7.38,0.029,2.95,11.2
Tilapia,23.76,2.96,6.53,0.474,8.06,4.82
Trout,8.96,1.14,7.88,0.039,7.11,10.11
Bass,24.66,2.04,8.43,0.067,45.92,6.07
Salmon,4.57,0.42,7.16,0.043,10.39,7.84
Goldfish,15.96,2.15,6.61,0.21,10.79,5.65
Trout,11.95,1.74,7.43,0.047,16.61,10.84
Tilapia,23.85,1.58,6.64,0.092,34.63,4.33
Catfish,20.26,7.31,7.67,0.916,30.99,3.32
Salmon,12.98,0.04,7.38,0.122,27.23,7.3
Trout,4.35,2.29,7.78,0.019,4.84,8.69
Bass,16.78,4.52,8.02,0.182,48.46,4.87
Tilapia,22.07,2.67,8.3,0.007,25.81,4.1
Tilapia,26.09,1.18,7.06,0.098,20.62,5.58
Tilapia,26.49,3.74,7.29,0.033,41.49,7.65
Bass,18.21,3.59,6.65,0.252,18.61,5.16
Salmon,10.63,0.21,6.91,0.107,19.09,10.72
Trout,4.78,2.76,6.77,0.001,13.5,10.14
Tilapia,26.0,3.68,,0.264,22.81,5.47
Catfish,27.61,7.79,7.4,0.334,43.31,4.77
Trout,4.14,1.84,6.97,0.097,,11.73
Catfish,20.11,4.89,6.79,0.004,48.94,5.35
Salmon,9.08,0.39,7.05,0.191,17.22,7.02
Catfish,27.27,7.04,6.05,0.15,32.87,3.38
Trout,8.21,1.87,7.17,0.125,0.03,11.21
Bass,16.92,1.73,7.83,0.053,41.57,8.38
Tilapia,22.31,3.46,6.88,0.082,29.12,4.04
Goldfish,23.37,1.26,6.57,,35.04,8.38
Catfish,25.69,6.08,6.76,0.357,28.55,
Trout,17.19,2.62,6.9,0.068,10.74,9.09
Trout,16.58,2.95,6.53,0.182,9.93,10.96
Bass,26.46,4.31,6.22,0.009,49.9,5.86
Catfish,23.63,8.54,6.05,0.73,55.58,6.55
Bass,19.19,5.13,6.95,0.202,18.64,7.96
Catfish,26.77,4.12,6.32,0.554,41.02,5.56
Salmon,15.17,1.0,7.84,0.0,26.72,9.59
Catfish,20.57,9.7,6.77,0.053,44.04,6.79
Bass,16.29,2.11,6.43,0.252,22.04,6.65
Goldfish,18.76,3.91,7.09,0.441,28.75,5.78
Goldfish,19.22,3.27,7.5,0.063,39.2,6.87
Catfish,22.56,6.54,6.13,0.49,52.76,5.4
Catfish,24.28,8.83,7.47,0.577,56.82,5.62
Tilapia,24.89,3.07,7.02,0.039,13.34,4.54
Catfish,24.0,8.67,6.5,0.827,16.27,4.83
Salmon,15.64,0.29,6.53,0.027,26.08,6.56
Bass,16.45,3.81,7.69,0.222,36.78,7.41
Tilapia,24.11,3.38,6.77,0.061,47.79,5.39
Goldfish,22.87,2.03,7.68,0.327,15.99,8.69
Tilapia,23.89,4.1,8.14,,5.59,7.09
Goldfish,21.62,2.62,7.39,0.26,19.87,5.15
Salmon,4.27,0.0,7.27,0.166,18.25,9.24
Trout,16.92,0.44,6.83,0.004,16.26,9.48
Bass,26.99,3.11,8.33,0.179,8.69,6.3
Bass,21.61,5.22,8.11,0.164,18.46,5.77
Goldfish,13.51,2.42,6.93,0.257,38.25,6.1
Catfish,21.72,8.73,6.29,0.845,48.15,6.88
Catfish,20.07,4.31,6.53,0.938,57.35,6.12
Salmon,6.63,0.21,,0.107,5.33,7.15
Tilapia,25.3,1.83,6.7,0.488,18.22,6.75
Salmon,10.58,1.16,7.06,0.045,13.3,7.26
Tilapia,25.39,3.6,8.27,0.225,2.95,4.63
Tilapia,29.91,3.38,7.71,0.02,6.86,4.35
Trout,15.79,2.85,7.35,0.191,14.12,8.23
Salmon,13.97,0.29,7.23,0.051,7.37,7.16
Trout,15.7,0.09,7.56,0.157,4.12,9.08
Goldfish,16.75,1.54,6.76,0.493,27.33,6.27
Salmon,6.35,1.41,7.56,0.095,4.41,7.59
Salmon,9.4,0.18,6.9,0.132,5.24,9.66
Bass,21.63,4.03,6.56,0.203,48.27,6.04
Goldfish,16.21,3.93,7.76,0.493,32.43,5.72
Salmon,7.49,1.85,7.26,0.08,17.49,8.63
Tilapia,24.52,4.19,7.99,0.281,6.76,5.95
Catfish,23.27,8.52,7.59,0.207,39.24,3.9
Goldfish,23.11,3.9,7.9,0.123,36.79,6.48
Goldfish,16.71,3.43,6.69,0.32,4.57,8.49
Bass,20.31,,7.68,0.017,38.49,5.87
Goldfish,14.16,2.42,6.62,0.392,2.83,6.16
Trout,10.33,2.62,7.85,0.07,12.33,9.25
Bass,18.34,5.68,8.12,0.034,46.49,6.08
Bass,17.08,3.33,6.91,0.246,11.73,6.31
Trout,4.65,1.49,7.59,0.122,9.77,10.53
Bass,16.41,5.17,8.46,0.199,8.83,5.06
Catfish,26.81,8.09,6.81,0.297,38.27,4.31
Goldfish,15.25,3.1,6.78,,36.61,6.26
Catfish,21.94,2.15,6.01,0.672,53.27,3.07
Salmon,12.29,1.42,7.48,0.087,15.6,9.28
Goldfish,15.39,3.17,7.23,0.374,13.8,5.72
Goldfish,17.54,3.25,6.84,0.479,36.27,5.91
Tilapia,27.83,1.08,8.33,0.373,0.54,6.46
Catfish,27.4,6.94,7.38,0.361,,4.52
Bass,18.74,3.42,6.85,0.077,21.3,6.74
Goldfish,16.38,2.48,7.12,0.33,18.14,8.52
Tilapia,26.34,3.29,8.28,0.298,41.29,6.93
Catfish,26.29,2.15,7.29,0.76,55.23,6.19
Bass,23.76,1.62,6.02,0.076,41.6,6.42
Catfish,26.24,3.94,7.15,0.92,33.55,6.5
Salmon,10.36,1.2,7.23,0.137,15.4,8.27
Trout,17.09,0.18,7.35,0.186,6.2,11.6
Catfish,27.26,8.7,6.39,0.096,42.41,6.95
Catfish,23.57,3.6,6.42,0.165,32.95,6.62
Bass,18.32,1.1,8.14,0.026,49.62,4.64
Tilapia,26.93,4.54,6.91,0.265,18.22,7.31
Salmon,13.44,0.86,7.62,0.078,1.54,9.21
Goldfish,21.52,2.77,7.67,0.366,24.5,8.71
Bass,17.23,3.63,7.85,0.027,13.88,8.27
Salmon,4.12,1.67,6.66,0.167,15.67,7.45
Catfish,26.92,9.6,7.58,0.344,11.95,6.59
Bass,26.19,3.14,7.3,0.046,45.66,6.78
Tilapia,22.43,3.28,8.08,0.302,23.05,4.37
Goldfish,23.8,1.71,6.85,0.306,7.8,8.52
Trout,4.41,2.32,7.62,0.009,17.63,11.9
Tilapia,29.25,3.83,6.67,0.32,17.43,5.44
Catfish,20.73,8.47,6.56,0.16,42.37,5.53
Catfish,26.73,3.3,6.39,0.898,20.03,3.25
Tilapia,25.28,2.24,7.38,0.281,34.19,6.15
Goldfish,16.23,1.99,7.01,0.425,25.22,6.43
Bass,18.75,2.47,7.7,0.16,30.88,7.75
Bass,16.2,5.63,7.5,0.235,22.91,5.05
Trout,14.95,1.47,7.2,0.181,9.8,11.33
Salmon,5.31,1.04,7.3,0.1,1.64,7.98
Bass,20.73,4.35,6.07,0.284,31.86,6.29
Tilapia,25.12,3.22,6.67,0.184,35.41,7.76
Goldfish,17.91,1.03,6.93,0.286,34.91,8.13
Trout,6.05,2.19,7.08,0.056,6.5,7.04
Trout,5.95,1.46,7.23,0.017,8.06,8.31
Trout,17.24,1.18,6.56,0.14,1.4,10.61
Catfish,26.36,6.81,6.66,0.876,13.72,6.21
Bass,16.95,1.51,7.05,0.212,16.87,6.96
Goldfish,23.26,2.51,7.22,0.062,30.23,7.71
Goldfish,17.83,3.01,7.19,0.001,25.05,7.4
Tilapia,29.86,1.12,8.02,0.148,1.18,4.96
Tilapia,,4.94,6.89,0.24,45.37,
Trout,16.35,1.54,6.88,0.056,8.09,10.49
Goldfish,12.73,2.56,7.26,0.037,4.96,8.57
Bass,22.1,5.13,7.96,0.134,12.12,7.22
Tilapia,29.1,2.85,8.36,0.424,39.29,5.65
Salmon,8.11,0.61,7.44,0.075,10.73,9.72
Goldfish,21.12,1.17,6.64,0.043,27.46,8.63
Salmon,5.48,1.35,7.08,0.189,29.66,7.34
Goldfish,18.29,2.16,7.3,0.424,39.97,8.62
Bass,18.7,1.33,8.01,0.241,7.78,7.02
Trout,9.63,2.21,7.84,0.182,14.46,9.83
Goldfish,22.08,1.55,6.96,0.429,19.36,8.69
Trout,8.56,1.36,7.44,0.068,19.92,10.63
Goldfish,12.77,1.95,7.49,0.25,29.36,7.17
Catfish,22.84,9.8,7.5,0.884,55.53,3.74
Catfish,26.28,9.91,7.18,0.155,49.13,4.75
Bass,25.17,1.63,6.26,0.287,48.73,5.71
Tilapia,25.77,4.45,7.59,0.104,10.27,6.29
Trout,4.99,1.06,7.88,0.18,6.84,7.36
Tilapia,23.11,1.53,7.72,0.412,14.88,7.04
Trout,16.6,1.35,6.9,0.198,5.47,7.2
Bass,19.6,5.18,8.17,0.035,34.63,7.74
Bass,25.56,3.01,6.08,0.29,39.31,4.94
Bass,26.35,1.96,8.3,0.058,18.02,5.94
Bass,21.74,4.01,7.16,0.032,,7.23
Bass,20.17,5.76,7.03,0.153,19.92,6.76
Tilapia,23.1,4.69,7.25,0.148,5.01,4.59
Trout,12.84,1.57,6.57,0.051,9.45,9.38
Catfish,24.31,7.56,7.22,0.39,46.7,6.38
Salmon,15.41,0.54,6.71,0.058,6.98,6.21
Trout,6.67,0.44,6.74,0.045,10.73,9.24
Tilapia,27.28,1.37,7.97,0.427,29.76,7.45
Salmon,8.0,1.88,6.5,0.135,13.17,10.43
Bass,17.04,4.46,8.03,0.052,32.62,8.69
Salmon,6.56,0.98,7.75,0.169,29.57,6.34
Salmon,14.47,1.62,7.06,0.148,22.34,6.4
Catfish,23.04,2.48,7.1,0.685,41.0,6.3
Salmon,9.72,1.74,7.24,0.135,3.74,11.07
Bass,15.25,1.19,6.97,0.209,8.43,6.87
Tilapia,24.14,4.24,7.03,0.222,6.32,6.85
Goldfish,16.39,1.47,7.97,0.285,39.7,5.84
Trout,11.05,1.6,6.57,0.116,6.44,9.12
Bass,21.61,4.32,8.39,0.244,26.75,5.3
Catfish,20.71,8.25,7.84,0.975,36.18,6.11
Tilapia,26.26,3.99,7.18,0.376,8.91,4.06
Tilapia,26.62,4.46,7.91,0.479,3.77,4.01
Bass,23.62,5.13,7.81,0.22,45.83,4.73
Trout,14.59,2.49,7.57,0.174,9.13,8.39
Tilapia,23.06,4.55,6.93,0.271,9.64,4.18
Goldfish,18.38,1.66,7.66,0.38,11.81,8.58
Catfish,20.61,9.46,7.7,0.559,18.0,6.02
Goldfish,14.09,2.25,6.79,0.442,6.74,7.63
Bass,22.06,5.39,6.15,0.276,5.39,7.84
Trout,8.13,0.31,7.63,0.027,0.34,10.08
Trout,10.98,1.1,6.82,0.185,2.35,8.12
Salmon,9.37,0.51,7.45,0.08,27.53,9.82
Salmon,15.06,0.19,7.6,0.113,3.12,9.6
Salmon,4.77,1.71,6.9,0.012,24.76,7.9
Bass,23.46,3.79,7.88,0.245,25.54,5.88
Trout,7.87,0.37,7.86,0.105,18.46,9.92
Bass,25.93,4.39,7.79,0.045,38.16,7.11
Tilapia,25.33,1.43,6.82,0.275,15.2,6.6
Trout,13.35,0.42,7.05,0.076,13.43,9.76
Salmon,10.68,0.42,6.94,0.178,19.01,11.77
Catfish,23.97,3.94,7.3,0.994,40.37,6.7
Goldfish,13.84,3.21,7.3,0.473,37.78,7.44
Bass,19.5,2.28,6.62,0.233,49.83,6.02
Salmon,14.22,0.75,7.55,0.039,29.72,6.24
Catfish,25.2,6.13,6.21,0.348,44.32,4.67
Bass,,2.31,7.39,0.178,42.65,
Bass,19.49,2.66,8.13,0.206,17.25,7.03
Salmon,8.56,0.32,6.52,0.057,5.75,6.53
Tilapia,27.94,2.96,7.12,0.445,18.84,5.11
Trout,10.46,0.96,7.6,0.044,6.91,8.53
Salmon,,1.33,6.67,0.164,14.01,9.82
Bass,22.01,4.44,7.05,0.224,22.21,8.05
Goldfish,10.31,2.14,7.8,0.28,27.36,5.07
Trout,8.99,0.75,7.16,0.108,19.48,9.78
Salmon,12.77,1.27,,0.185,,9.41
Trout,11.88,0.55,7.58,0.149,14.73,10.76
Bass,19.01,3.78,7.7,0.031,13.94,7.9
Salmon,14.34,1.67,7.31,0.021,12.35,6.71
Bass,19.54,4.64,,0.231,31.05,4.55
Salmon,9.01,0.88,7.46,0.017,14.26,6.04
Trout,13.81,2.47,7.33,0.008,6.23,10.2
Bass,19.12,5.42,6.21,0.297,35.48,5.83
Trout,4.87,1.64,6.8,0.102,16.79,10.67
Trout,11.25,1.8,7.24,0.047,19.35,10.15
Bass,16.73,5.43,8.32,0.006,25.61,5.2
Trout,10.5,1.84,7.48,0.023,5.91,8.79
Catfish,25.39,3.45,7.31,0.95,55.35,3.9
Trout,14.69,0.89,7.67,0.097,8.32,10.68
Catfish,22.2,9.31,6.65,0.611,28.34,6.98
Bass,20.04,5.71,7.51,0.07,7.52,6.15
Salmon,13.56,1.1,7.47,0.187,25.34,10.71
Trout,10.15,2.18,7.93,0.103,16.65,7.41
Bass,26.62,4.83,7.55,0.114,46.34,8.88
Goldfish,19.35,2.03,7.82,0.217,20.09,7.85
Goldfish,17.6,3.52,7.39,0.162,0.14,5.38
Bass,18.78,1.65,6.25,0.1,5.3,8.47
Salmon,13.18,0.8,6.9,0.19,24.69,8.2
Tilapia,27.73,4.74,7.38,0.353,20.04,4.17
Trout,5.62,0.47,7.67,0.178,,10.38
Goldfish,19.37,2.82,7.23,0.288,34.99,6.69
Trout,7.0,1.62,7.18,0.024,13.07,7.78
Salmon,6.7,0.07,7.78,0.162,29.84,11.41
Goldfish,12.72,2.31,7.33,0.123,39.16,5.77
Bass,16.84,3.45,7.67,0.023,21.25,6.18
Goldfish,19.96,1.37,7.41,0.292,3.77,8.44
Tilapia,26.41,3.16,8.34,0.216,13.38,7.32
Trout,17.34,1.52,7.76,0.099,18.3,8.92
Salmon,6.6,1.82,7.75,0.166,18.37,11.37
Catfish,25.84,9.67,7.69,0.033,22.82,6.5
Tilapia,28.78,2.82,8.11,0.174,14.42,5.74
Salmon,7.04,1.14,7.85,,7.37,6.54
Catfish,25.87,6.62,6.63,0.649,16.72,6.78
Catfish,20.88,9.52,6.64,0.46,52.98,6.71
Trout,5.83,1.36,7.68,0.162,7.87,9.51
Trout,10.14,1.8,7.24,0.085,15.52,9.64
Salmon,13.71,1.7,6.67,0.058,10.54,
Trout,17.08,2.04,7.13,0.139,5.08,9.81
Catfish,,5.7,6.92,0.739,59.22,4.18
Bass,23.72,1.77,7.18,0.154,14.17,6.41
Salmon,8.91,0.02,7.09,0.055,10.78,10.44
Trout,17.57,0.32,6.55,0.013,2.94,8.82
Tilapia,28.91,2.98,6.79,0.264,25.85,7.49
Trout,5.86,1.47,7.07,0.015,0.18,9.69
Trout,17.35,2.94,7.57,0.155,14.96,7.05
Salmon,8.71,0.02,,0.105,5.65,10.6
Trout,4.78,1.22,6.88,0.012,17.94,11.47
Catfish,20.71,8.54,6.5,0.426,13.55,4.92
Bass,25.64,4.38,7.82,0.166,14.28,8.26
Trout,,0.03,,0.077,15.96,9.51
Tilapia,,3.14,8.18,0.433,16.95,7.19
Tilapia,24.69,4.66,8.03,0.372,10.12,5.69
Tilapia,29.52,,8.49,0.31,40.15,4.92
Salmon,13.26,1.87,7.61,0.083,1.33,10.21
Catfish,22.51,8.22,6.68,0.344,30.28,3.56
Trout,6.71,0.67,7.3,0.058,4.01,8.32
Tilapia,26.64,1.6,7.63,0.373,31.35,4.93
Trout,16.05,1.55,7.04,0.085,11.45,10.3
Tilapia,24.55,1.18,6.96,0.332,15.31,
Catfish,23.54,9.76,6.79,0.676,55.03,5.54
Trout,15.87,2.89,7.66,0.182,8.28,11.6
Catfish,24.73,3.82,7.48,0.601,51.59,6.73
Catfish,21.3,6.96,6.97,0.677,45.72,3.89
Bass,20.08,2.14,7.68,0.188,11.12,4.33
Salmon,6.69,0.7,7.63,0.188,1.11,10.24
Bass,19.78,4.79,7.61,0.085,44.19,4.06
Bass,25.84,2.59,6.83,0.273,43.23,4.19
Tilapia,24.85,4.04,7.22,0.411,46.05,7.0
Goldfish,16.56,1.05,7.23,0.097,15.49,8.87
Bass,17.64,,6.68,0.202,39.35,6.4
Salmon,7.29,0.26,7.5,0.093,6.24,9.19
Tilapia,27.18,3.63,6.51,0.148,25.8,5.64
Tilapia,26.54,3.88,7.51,0.363,20.52,7.47
Salmon,13.35,0.16,7.68,0.043,15.42,
Tilapia,24.98,2.18,7.34,0.174,20.51,5.16
Trout,5.96,1.18,7.09,0.05,19.87,9.7
Bass,21.01,3.81,6.65,0.122,38.87,8.22
Trout,11.08,1.72,6.59,0.198,5.69,10.27
Catfish,21.2,7.76,6.31,0.935,,5.9
Bass,18.99,4.05,7.42,0.2,48.98,7.55
Salmon,4.68,1.09,8.0,0.007,10.71,11.43
Tilapia,22.55,1.13,6.74,0.448,38.65,5.94
Bass,25.16,5.58,6.29,0.213,29.43,8.45
Tilapia,29.2,1.68,6.82,0.33,39.77,5.94
Trout,5.41,1.54,7.39,0.058,7.73,7.96
Salmon,14.96,0.32,6.92,0.138,24.98,10.87
Trout,10.47,1.65,6.88,0.079,1.44,8.23
Catfish,24.8,5.96,6.21,0.296,34.77,5.51
Tilapia,29.7,4.69,7.46,0.318,33.97,5.21
Tilapia,25.29,3.94,8.39,0.167,47.52,6.37
Trout,5.46,2.62,7.23,0.111,15.33,8.49
Trout,16.64,1.83,7.86,0.057,13.45,9.79
Trout,12.49,0.96,7.73,0.066,19.82,
Goldfish,21.64,3.99,7.19,0.489,29.21,6.42
Goldfish,14.37,2.34,6.84,0.26,38.05,8.17
Goldfish,17.47,2.4,7.44,0.241,25.39,8.36
Bass,20.7,2.59,6.61,0.229,15.24,7.14
Catfish,22.94,5.94,7.32,0.599,34.24,5.52
Tilapia,29.99,2.44,7.11,0.235,17.17,5.22
Trout,8.25,0.56,7.82,,7.06,10.92
Salmon,11.34,0.94,7.3,0.049,24.15,11.16
Bass,15.59,1.37,8.15,0.056,38.03,4.69
Goldfish,12.59,3.1,7.85,0.25,15.44,5.38
Trout,4.28,2.79,6.65,0.098,10.42,9.49
Salmon,6.34,1.28,6.92,0.092,18.09,11.23
Tilapia,25.74,2.31,8.4,0.42,17.33,4.52
Trout,12.19,1.71,,0.071,1.2,7.29
Salmon,5.66,1.6,7.4,0.185,0.48,9.53
Goldfish,11.48,1.77,7.85,0.163,4.94,5.69
Salmon,15.02,1.88,6.67,0.18,18.04,9.28
Trout,6.19,2.06,6.7,0.003,,9.66
Bass,15.38,3.42,7.63,0.196,17.08,5.81
Goldfish,12.25,2.89,6.85,0.278,8.03,8.36
Catfish,,4.56,6.27,0.686,46.98,6.76
Salmon,15.6,1.23,7.93,0.151,23.71,10.05
Tilapia,24.19,3.11,8.09,,3.02,7.53
Tilapia,28.24,1.13,7.47,0.401,38.7,4.1
Goldfish,18.15,3.44,6.92,0.322,13.53,8.22
Bass,20.51,2.12,8.35,0.048,13.76,5.74
Trout,6.87,1.84,7.29,0.036,9.93,11.12
Catfish,20.99,9.58,6.25,0.33,19.06,5.82
Goldfish,10.51,2.03,6.66,0.321,30.6,6.07
Tilapia,23.32,1.69,7.54,0.393,45.39,7.69
Salmon,12.01,1.06,6.63,0.053,16.87,6.91
Tilapia,26.69,4.09,7.71,0.173,40.76,5.47
Goldfish,14.45,3.79,7.31,0.402,35.48,
Trout,14.68,0.43,6.99,0.121,15.46,8.52
Goldfish,16.65,2.9,6.81,0.491,6.78,5.25
Tilapia,29.8,4.71,6.69,0.457,40.0,5.01
Tilapia,25.23,4.16,6.96,0.213,17.57,7.92
Catfish,23.87,5.88,6.58,0.416,10.88,3.37
Catfish,20.72,5.64,7.04,0.731,30.52,3.92
Catfish,24.47,5.2,7.46,0.617,24.09,6.47
Salmon,7.43,0.14,6.69,0.169,15.83,6.88
Catfish,21.91,9.33,7.06,0.697,16.59,5.75
Salmon,8.63,0.95,7.68,0.061,22.01,8.92
Bass,23.01,2.53,8.41,0.145,43.66,6.21
Goldfish,18.35,2.65,6.74,0.241,17.93,8.09
Tilapia,26.39,1.93,8.42,0.229,16.96,5.67
Catfish,24.79,3.29,7.35,0.392,56.97,4.5
Catfish,23.7,9.05,6.11,0.405,25.28,4.74
Tilapia,,1.26,7.81,0.461,45.73,4.64
Catfish,21.99,7.01,7.72,0.994,41.13,3.85
Tilapia,28.12,2.27,8.03,0.421,37.84,6.95
Salmon,14.55,1.08,7.93,0.059,8.74,10.99
Tilapia,,2.18,8.21,0.209,10.47,7.75
Tilapia,25.56,2.24,8.07,0.478,17.58,4.51
Catfish,28.0,8.89,7.77,0.12,38.64,3.38
Goldfish,19.76,2.97,7.11,0.194,14.79,5.87
Trout,17.61,1.94,7.18,,7.31,7.01
Salmon,11.8,0.78,7.79,0.053,1.62,6.3
Trout,5.35,0.65,7.36,0.049,1.65,7.26
Catfish,24.56,3.64,6.3,0.261,10.62,5.35
Trout,14.54,1.03,6.93,0.097,2.96,11.72
Tilapia,27.55,1.46,8.29,0.101,26.73,7.25
Tilapia,22.73,2.37,8.07,0.436,41.06,6.79
Trout,14.91,0.32,7.29,0.154,10.15,10.94
Goldfish,23.04,2.27,7.55,0.018,17.81,7.57
Tilapia,24.93,4.68,6.94,0.448,6.27,
Goldfish,19.22,3.7,7.02,0.22,1.6,8.99
Bass,19.7,2.35,7.42,0.084,25.91,8.05
Tilapia,26.91,3.31,8.35,0.47,40.38,7.09
Tilapia,25.81,2.4,7.36,0.333,24.68,7.49
Salmon,4.62,0.84,7.41,0.013,29.6,8.6
Trout,8.36,2.88,7.67,0.089,15.92,8.69
Salmon,15.67,0.42,6.8,,14.73,8.77
Salmon,,0.09,7.71,0.077,19.15,8.9
Salmon,7.23,0.3,6.57,0.156,6.96,8.97
Bass,19.73,4.35,8.5,0.173,26.6,4.92
Bass,15.15,5.99,8.19,0.027,33.52,6.77
Tilapia,24.67,3.11,7.83,0.463,31.99,7.92
Catfish,21.08,9.1,7.72,0.045,57.01,6.61
Tilapia,24.75,3.62,7.29,,0.92,4.89
Tilapia,24.69,2.95,8.23,0.213,13.73,7.77
Tilapia,24.84,4.74,7.44,0.122,17.15,5.03
Salmon,14.94,0.38,7.32,0.166,4.95,9.64
Bass,17.82,5.87,7.56,0.108,9.79,6.81
Bass,15.18,1.16,6.35,0.225,12.05,8.81
Goldfish,18.92,3.09,6.92,0.228,36.49,8.17
Bass,19.85,1.12,7.66,0.156,16.3,5.37
Catfish,23.59,6.67,7.76,0.39,14.65,5.37
Tilapia,27.28,3.41,7.84,0.291,15.0,7.83
Goldfish,15.51,1.9,7.41,,13.03,7.14
Catfish,26.92,6.3,6.11,0.007,53.17,4.85
Salmon,13.21,1.7,6.82,0.047,6.33,8.79
Catfish,23.11,8.68,7.53,0.233,27.08,5.89
Tilapia,23.04,4.52,8.02,0.135,24.01,7.09
Tilapia,26.69,2.73,7.37,0.123,45.5,7.66
Tilapia,26.98,4.91,6.86,0.357,38.15,4.96
Catfish,24.62,9.75,6.77,0.781,36.31,5.6
Bass,16.27,5.59,6.85,0.26,31.16,5.21
Salmon,14.09,1.82,6.76,0.02,8.65,7.89
Salmon,11.65,0.72,7.41,0.031,29.48,11.1
Bass,19.03,1.95,6.62,0.217,17.98,4.52
Salmon,13.89,1.65,7.26,0.031,,9.41
Bass,15.62,5.04,6.67,0.245,39.04,4.43
Catfish,23.71,6.97,6.22,0.27,25.0,3.68
Bass,17.19,1.9,6.16,0.171,13.19,7.31
Bass,25.42,5.64,6.91,0.233,,8.11
Salmon,,0.12,7.94,0.058,16.83,6.35
Salmon,13.77,0.69,7.5,0.119,22.6,9.17
Goldfish,18.13,1.51,6.88,0.428,17.71,8.09
Bass,19.07,5.44,8.39,,38.48,6.97
Trout,7.29,2.95,7.77,0.142,14.85,10.24
Catfish,20.97,6.23,7.81,0.93,46.68,6.31
Catfish,24.7,9.8,6.89,0.105,13.32,5.19
Goldfish,10.21,3.54,7.87,0.047,,5.91
Trout,9.81,0.26,7.04,0.067,18.6,8.82
Goldfish,11.68,3.72,7.45,0.484,38.27,7.21
Salmon,15.62,0.84,7.35,0.125,6.83,10.93
Catfish,27.24,4.16,7.73,0.389,48.44,4.54
Trout,14.39,2.05,7.21,0.173,2.55,7.65
Salmon,8.97,0.01,7.5,0.099,2.32,9.82
Salmon,4.36,1.28,7.73,0.159,19.18,10.17
Catfish,20.31,6.9,6.21,0.725,19.09,6.74
Bass,23.43,3.92,8.22,0.285,14.45,8.38
Bass,16.37,1.58,6.68,0.206,46.31,6.15
Bass,20.94,1.54,,0.009,46.9,5.58
