Fish Species,Temperature (°C),pH,Turbidity (NTU),Dissolved Oxygen (mg/L)
Catfish,21.85,6.2,52.76,5.58
Bass,21.25,7.41,28.74,9.66
Goldfish,10.16,7.0,7.02,6.99
Clownfish,,8.36,0.74,6.39
Trout,13.51,6.76,9.6,7.58
Clownfish,24.1,8.09,0.41,6.33
Bass,19.19,6.94,34.14,
Catfish,27.99,6.58,83.14,4.9
Catfish,27.14,7.39,,6.18
Eel,7.86,7.13,20.13,4.07
,10.9,6.83,8.6,
Bass,17.96,6.6,28.36,7.7
Salmon,8.33,7.05,3.85,6.01
Trout,12.02,6.64,8.25,8.79
Bass,19.19,6.06,,4.26
Trout,10.01,7.22,3.77,11.74
Tilapia,28.16,,28.03,7.39
Catfish,25.87,6.41,69.78,5.91
Catfish,20.98,6.97,41.86,6.55
Catfish,27.48,6.14,5.73,4.87
Eel,11.76,7.83,12.96,4.02
Salmon,9.56,6.7,0.58,8.29
Tilapia,29.29,6.66,34.81,5.36
,26.6,8.11,3.4,7.69
Bass,17.88,6.35,10.09,
Clownfish,24.18,7.93,4.06,6.98
Bass,,6.06,20.53,6.06
Clownfish,25.98,8.0,3.12,7.14
Catfish,22.29,6.96,43.73,3.58
Catfish,27.47,6.13,37.1,6.47
Salmon,9.11,7.23,1.11,
Catfish,25.98,6.15,11.75,6.65
Bass,16.1,6.44,10.04,8.42
Clownfish,25.23,8.12,3.83,5.09
Clownfish,24.76,8.31,2.96,5.07
Catfish,24.24,6.8,,3.93
Eel,15.89,6.23,10.28,4.95
Clownfish,25.01,7.85,4.63,5.09
Eel,22.15,7.45,27.0,7.92
Salmon,14.06,7.43,4.17,
Goldfish,11.77,8.24,,7.84
Salmon,14.78,6.94,1.89,
,12.39,6.47,19.42,6.23
Goldfish,22.38,7.14,15.96,
Goldfish,16.59,7.69,,
Tilapia,29.41,7.54,29.48,5.05
Clownfish,26.45,8.03,1.12,6.48
Catfish,26.68,6.58,57.19,4.2
Catfish,25.06,7.76,59.81,4.77
Catfish,20.24,6.52,90.48,4.9
Trout,13.79,7.48,8.32,7.71
Eel,9.96,7.89,22.5,7.7
Trout,12.2,6.81,5.5,9.41
Bass,20.64,7.06,17.51,5.72
Eel,15.64,6.39,12.94,3.7
Catfish,26.84,7.31,99.33,3.95
Salmon,10.13,6.96,3.83,8.57
Trout,11.8,7.18,0.73,10.25
Clownfish,27.91,8.13,3.64,5.67
Salmon,10.88,6.82,9.33,7.69
Tilapia,25.85,6.65,20.96,6.88
Bass,17.75,6.7,16.26,6.26
Trout,13.4,6.96,0.59,10.97
Goldfish,14.66,7.44,10.29,6.61
,,6.93,4.17,7.25
Eel,17.81,7.9,15.34,6.51
Eel,7.4,6.62,29.48,7.21
Eel,14.11,6.65,15.35,5.99
Tilapia,28.37,6.93,35.76,6.9
,27.35,6.14,95.94,3.7
Salmon,12.9,6.86,3.67,8.27
Bass,21.83,6.54,31.61,5.23
Tilapia,29.63,6.75,18.32,5.1
Goldfish,15.41,7.61,8.95,7.69
Catfish,24.83,7.32,7.78,3.05
Tilapia,22.2,7.51,11.5,7.39
Tilapia,24.9,7.52,13.9,
Eel,11.43,6.22,26.73,7.89
Catfish,25.0,7.71,25.4,3.99
Tilapia,24.25,7.01,45.37,4.5
Salmon,14.69,7.39,1.83,8.04
Tilapia,28.41,7.56,15.28,5.32
Bass,18.32,6.3,12.68,6.38
Clownfish,27.26,8.35,3.91,7.67
Tilapia,22.24,6.86,20.76,6.51
Clownfish,25.98,7.96,1.19,
Trout,14.74,7.31,7.84,7.37
Tilapia,25.43,7.45,48.55,7.88
Salmon,9.57,6.9,7.82,11.1
Goldfish,21.34,8.18,15.64,6.24
Eel,12.45,6.68,12.69,3.61
Catfish,23.44,7.03,75.52,3.48
Trout,16.95,6.95,6.71,11.59
Clownfish,25.74,8.17,1.49,5.59
Goldfish,18.97,7.71,14.04,5.19
Goldfish,10.72,8.41,14.72,6.31
Bass,17.67,6.94,19.5,5.91
Clownfish,27.26,,1.78,7.35
Tilapia,22.22,7.62,43.57,4.41
Clownfish,27.55,8.02,4.87,7.51
Salmon,13.45,7.09,4.78,7.49
Bass,,6.14,14.79,8.12
Catfish,21.8,6.09,67.49,3.83
Trout,15.25,6.69,8.39,8.46
Clownfish,27.45,,0.55,7.88
,21.41,6.79,41.34,
Salmon,9.99,7.11,2.81,10.02
Trout,11.45,7.13,4.82,8.71
Trout,12.91,7.46,3.25,8.56
Goldfish,10.26,7.69,8.07,7.53
Goldfish,12.87,8.01,17.66,6.75
Eel,8.7,7.57,24.17,7.25
Bass,22.27,6.11,29.64,7.23
Bass,21.13,6.54,43.29,7.79
Trout,11.71,7.3,3.02,
Catfish,23.94,7.39,13.58,3.81
Salmon,9.02,6.77,2.43,6.08
Trout,13.11,7.23,0.97,8.71
Goldfish,13.1,8.14,5.67,5.21
Eel,20.3,,21.92,7.68
Salmon,13.93,6.93,,10.32
Eel,10.49,6.32,10.28,6.24
Goldfish,11.45,8.25,8.07,6.76
Catfish,20.06,,42.39,6.44
Tilapia,27.88,6.87,41.84,7.49
Bass,20.71,7.35,8.74,8.7
Tilapia,25.27,6.6,34.52,4.74
Bass,19.83,6.22,15.84,5.79
Bass,17.2,7.13,16.93,9.13
Salmon,12.96,,9.27,10.44
Salmon,11.44,7.49,5.82,6.32
Bass,24.47,6.4,38.47,4.65
Trout,10.29,,0.4,8.28
Bass,18.67,7.43,26.92,9.58
Bass,24.42,6.51,10.46,
Bass,22.47,6.03,12.63,4.76
Trout,10.4,7.2,0.49,9.07
Bass,16.43,7.17,26.4,
Catfish,24.8,6.04,73.84,4.88
Salmon,9.44,7.31,5.47,8.52
Bass,24.76,6.24,12.29,6.68
Clownfish,27.48,8.02,3.28,7.9
Bass,21.56,6.7,21.31,9.55
Eel,15.12,7.5,11.24,3.91
Goldfish,20.24,7.71,17.7,7.12
,15.42,,16.99,7.46
Bass,15.53,7.0,21.02,5.8
Clownfish,27.02,7.98,1.88,6.99
Goldfish,21.22,8.42,15.66,7.18
Trout,15.87,6.64,8.32,9.47
Goldfish,14.06,,19.75,6.09
Eel,7.57,7.33,17.09,7.92
Trout,12.4,7.24,3.4,7.19
Bass,19.69,7.4,24.46,6.26
Eel,23.77,7.45,12.23,5.08
Catfish,22.6,6.99,64.51,
Bass,21.93,6.13,34.51,8.89
Goldfish,20.74,8.06,8.58,6.84
Salmon,9.83,6.6,,11.99
Salmon,11.16,7.25,,11.52
Tilapia,23.21,7.34,31.68,6.69
Trout,14.63,7.03,7.5,10.8
Clownfish,26.49,8.14,3.85,6.52
Tilapia,24.58,7.62,35.47,5.62
Catfish,20.6,6.69,14.17,3.73
Eel,21.96,7.84,23.95,5.9
Goldfish,21.77,7.8,5.26,
Tilapia,24.04,7.33,28.81,5.09
Catfish,,7.72,88.01,3.45
Tilapia,27.48,7.97,23.51,6.23
Bass,23.23,6.49,12.62,4.03
Trout,13.65,6.94,,9.03
Trout,16.75,7.34,2.96,8.08
Goldfish,19.99,7.41,17.49,7.24
Tilapia,27.01,7.81,27.56,4.18
Goldfish,19.43,7.7,16.99,5.08
Goldfish,24.56,7.68,5.01,5.58
Trout,11.94,7.34,2.75,10.08
Clownfish,27.52,,2.12,
Catfish,27.33,6.97,22.68,6.76
Catfish,21.44,7.15,87.51,5.69
Salmon,12.92,6.82,7.51,9.9
Eel,9.88,6.2,10.98,5.69
,24.32,7.9,5.56,5.93
Salmon,13.24,6.75,5.97,9.49
Salmon,10.49,7.04,4.4,11.83
Catfish,,7.64,62.2,3.48
Trout,16.17,7.02,9.31,11.62
Salmon,13.3,7.41,2.73,9.62
Salmon,8.45,7.1,8.69,6.6
Salmon,14.07,6.76,7.97,7.87
Goldfish,11.12,8.29,6.02,
Eel,15.62,6.83,24.85,
Trout,10.09,6.74,1.39,10.08
Trout,16.73,7.44,2.25,9.78
Goldfish,,7.03,17.59,5.75
Salmon,13.84,6.95,7.31,6.29
Salmon,12.47,6.77,4.44,7.27
Clownfish,24.86,8.38,4.03,5.2
Eel,15.13,7.73,11.99,4.86
Tilapia,,6.51,25.13,6.42
Tilapia,27.86,7.86,41.91,5.91
Salmon,14.39,6.95,7.2,8.66
Tilapia,28.73,6.96,41.0,5.47
Tilapia,24.37,6.94,26.9,4.18
Catfish,20.98,6.41,12.48,5.32
Eel,12.29,6.14,19.92,3.04
Clownfish,26.04,8.28,3.55,6.44
Goldfish,24.79,7.73,8.24,7.92
Clownfish,26.63,8.06,2.61,7.57
Tilapia,22.2,7.12,19.27,7.51
Goldfish,20.97,8.13,8.87,5.18
Catfish,20.55,6.04,62.57,4.78
Clownfish,27.58,8.1,3.7,6.37
Tilapia,27.14,6.67,42.76,6.74
Clownfish,26.58,7.92,3.05,6.35
Salmon,8.86,6.67,3.74,11.89
Bass,22.06,7.19,48.25,5.53
Catfish,20.4,7.68,64.55,3.87
Trout,11.08,6.84,4.59,11.1
Bass,23.95,6.15,25.95,7.89
Catfish,22.76,7.8,33.52,5.63
Catfish,23.29,7.42,71.97,3.47
Eel,8.08,7.27,22.53,3.85
,21.04,7.43,53.93,3.02
Eel,16.88,7.62,19.79,7.92
Trout,12.08,7.13,8.64,8.21
Eel,15.33,6.18,11.45,7.08
Goldfish,21.34,8.43,6.88,5.51
Trout,17.73,6.95,4.06,10.62
Tilapia,27.43,7.38,17.35,6.0
Goldfish,20.98,7.72,19.79,6.22
Tilapia,28.98,7.75,26.23,4.81
Tilapia,28.92,,32.45,4.2
Salmon,14.99,7.16,3.7,10.23
Goldfish,20.05,8.39,19.95,7.48
Bass,15.04,6.33,13.87,4.73
Catfish,22.52,7.6,36.0,3.08
Clownfish,26.73,8.34,0.69,
Goldfish,16.77,7.21,18.72,5.48
Trout,,7.32,1.13,8.02
Clownfish,27.97,7.81,1.96,6.59
Trout,10.76,6.67,5.09,11.91
Salmon,13.47,6.63,3.98,9.86
Catfish,22.33,7.26,,3.39
Salmon,8.77,,7.82,6.81
Goldfish,18.47,7.07,13.87,7.75
Salmon,12.56,6.57,3.19,9.35
Goldfish,,8.14,11.85,6.55
Eel,9.18,6.06,20.36,5.34
Salmon,9.67,7.38,4.36,11.72
Bass,22.17,7.04,,5.74
Clownfish,27.5,8.07,0.57,7.35
Trout,15.24,7.45,9.17,7.07
Clownfish,27.68,7.86,4.65,6.76
Tilapia,24.26,6.9,24.4,7.06
Tilapia,29.75,7.9,21.82,4.76
Goldfish,19.34,8.13,18.07,6.27
Catfish,22.23,7.87,62.04,4.5
Tilapia,28.58,7.25,48.28,4.41
Clownfish,25.26,8.25,1.35,
Bass,19.77,6.65,46.2,6.21
Catfish,20.75,7.79,38.15,3.17
Salmon,11.28,7.23,,8.45
Catfish,24.99,7.47,,6.32
Clownfish,26.07,,3.36,7.09
,13.08,7.23,7.13,7.28
Salmon,10.11,7.14,9.12,10.24
Salmon,14.96,7.47,4.06,8.57
Tilapia,26.43,7.81,48.26,5.41
Salmon,8.15,,,11.02
Clownfish,24.66,7.97,3.87,6.91
Clownfish,25.38,7.86,4.82,6.84
,25.15,8.15,3.21,6.42
Catfish,,7.1,30.21,3.48
Goldfish,11.7,8.19,6.04,6.19
Bass,23.12,6.41,29.25,7.84
Eel,10.57,7.89,24.32,6.56
Clownfish,27.53,8.0,1.98,5.62
Catfish,24.9,7.47,82.83,6.53
Salmon,12.06,,4.99,9.17
Eel,15.22,7.71,26.61,6.89
Tilapia,29.27,7.38,47.24,6.56
Goldfish,14.61,7.95,13.74,5.97
Clownfish,26.98,8.23,0.59,5.36
Eel,20.22,6.22,,5.32
Bass,18.58,6.26,12.65,4.94
Trout,16.76,6.86,3.29,9.67
Eel,20.85,7.23,26.74,6.44
Eel,24.48,6.15,26.3,4.57
Trout,12.85,7.09,0.07,9.82
Goldfish,24.94,8.29,18.39,5.09
Eel,18.6,6.89,27.4,3.49
Goldfish,16.04,7.34,,8.0
Salmon,10.97,7.21,0.39,6.8
Bass,17.71,6.61,17.17,7.82
Eel,16.83,6.8,15.22,5.53
Salmon,8.48,6.83,7.42,10.63
Bass,20.22,7.3,45.36,8.95
Tilapia,29.11,6.56,33.25,4.96
Trout,16.3,7.14,5.85,10.27
Catfish,26.32,6.16,96.23,3.61
Clownfish,26.54,8.35,0.12,
Catfish,23.2,7.83,39.18,4.41
Salmon,10.27,6.96,5.31,10.09
Eel,8.92,,15.24,5.77
Catfish,23.27,7.03,83.94,4.29
Goldfish,23.55,7.02,18.4,7.0
Catfish,21.68,6.29,24.4,4.54
Eel,22.11,6.23,10.1,5.14
Catfish,21.06,7.71,82.91,6.26
Trout,15.29,7.3,8.59,9.12
Bass,18.25,7.32,16.93,8.74
Tilapia,26.36,7.11,40.03,6.53
Goldfish,22.62,8.26,17.23,7.52
Salmon,8.54,6.86,8.88,9.21
Clownfish,27.36,8.03,3.18,6.79
Trout,11.37,7.04,2.73,9.14
Clownfish,25.72,8.06,,7.07
Eel,5.36,7.97,22.29,7.65
Clownfish,24.92,7.93,4.97,6.34
Bass,17.46,6.53,13.48,4.64
Bass,19.84,7.38,48.72,9.21
Salmon,13.5,6.75,0.61,10.69
Eel,23.35,6.37,24.37,3.4
,26.82,6.57,49.39,4.9
Eel,19.38,7.42,,6.98
Tilapia,26.4,6.51,,6.71
Salmon,14.15,6.85,9.44,6.54
Catfish,25.85,6.02,26.31,
Bass,21.3,7.15,23.65,6.54
Catfish,24.37,6.24,27.28,4.91
Salmon,10.02,7.14,6.26,7.58
Eel,13.43,7.78,15.97,7.19
,10.53,6.76,3.01,9.07
Tilapia,,7.31,30.77,4.92
Salmon,14.98,7.03,8.84,9.31
,24.96,6.25,8.87,5.53
Trout,14.32,7.13,6.05,10.34
Trout,17.9,6.53,0.74,10.21
Tilapia,29.25,6.67,29.68,
Bass,21.72,6.91,28.09,4.37
Catfish,22.29,7.77,27.69,5.74
Salmon,9.2,7.19,7.79,10.3
Salmon,13.3,,2.7,10.82
Catfish,27.22,6.39,58.89,3.24
Clownfish,,8.0,0.18,5.64
Clownfish,26.03,,2.53,5.11
,23.28,7.83,22.37,7.32
Salmon,9.76,6.62,2.8,6.18
Tilapia,25.47,7.65,48.13,4.32
Clownfish,26.44,7.81,2.38,
Clownfish,26.57,8.26,0.16,7.55
Goldfish,18.48,7.18,13.3,7.43
Catfish,23.23,7.34,50.9,4.96
Salmon,11.56,7.38,6.16,11.48
Goldfish,11.19,7.04,18.1,6.75
Clownfish,26.15,8.22,3.95,6.64
Eel,24.07,6.66,24.92,7.94
Eel,11.85,6.92,16.45,4.58
Bass,16.38,7.13,31.71,6.24
Bass,16.38,6.1,49.25,7.41
Bass,19.46,7.12,,5.99
Salmon,9.28,7.38,,
Eel,24.09,7.65,20.24,
Clownfish,26.34,8.3,4.57,6.06
Bass,17.42,6.96,34.4,9.94
Bass,24.24,6.37,8.09,9.42
Bass,16.31,6.06,37.29,4.7
Trout,14.24,7.3,,10.36
Catfish,26.69,6.73,5.01,6.03
Eel,,7.37,15.18,6.65
Eel,10.19,6.88,15.88,7.17
Clownfish,24.58,7.92,2.77,5.53
Salmon,10.29,7.07,7.98,10.78
Clownfish,27.17,8.07,4.84,5.52
Catfish,23.94,6.3,63.26,3.19
Catfish,25.92,,89.88,5.12
Trout,14.17,7.45,6.86,
Goldfish,24.44,7.29,6.97,6.42
Catfish,21.78,6.77,73.4,5.57
Clownfish,25.86,7.83,0.18,5.3
Goldfish,16.16,7.98,19.53,5.43
Catfish,27.53,6.36,14.86,5.09
Bass,23.85,7.25,10.29,7.49
Trout,14.65,7.44,2.39,
Eel,14.89,7.19,24.79,7.03
Clownfish,24.5,8.09,4.22,5.05
Goldfish,17.47,7.25,8.95,6.88
Eel,21.72,7.23,12.03,3.22
Salmon,13.41,7.15,4.67,8.11
Goldfish,24.43,7.98,9.56,6.48
Goldfish,21.63,7.11,5.49,5.91
Salmon,10.49,7.03,5.21,11.26
Trout,12.43,6.84,9.62,9.4
Bass,19.31,6.71,,5.09
Bass,24.11,7.28,44.02,4.81
Trout,10.12,7.44,3.82,7.05
Bass,21.15,6.96,6.02,9.2
Clownfish,26.58,8.39,3.23,7.79
Clownfish,25.94,7.95,4.63,5.24
Trout,14.61,6.83,5.3,8.92
Salmon,10.14,6.51,6.28,6.39
Trout,17.08,7.27,2.14,10.59
Goldfish,23.43,7.88,7.34,7.82
Clownfish,24.05,7.93,3.15,6.01
Clownfish,27.8,7.97,3.25,5.59
Clownfish,24.0,8.2,1.49,6.54
Bass,16.06,7.49,,6.31
Catfish,24.08,,50.07,5.91
Clownfish,26.66,8.17,1.78,8.0
Bass,18.69,6.69,16.92,4.0
Trout,,7.39,3.49,7.25
Salmon,8.26,7.03,7.25,7.54
Catfish,25.97,7.54,32.47,4.83
Goldfish,18.69,7.14,14.88,5.84
Salmon,9.61,6.93,8.46,8.24
Trout,10.93,7.42,4.63,7.86
Goldfish,13.9,7.96,5.73,6.95
Trout,,7.42,8.7,11.4
Goldfish,22.57,8.27,7.73,7.52
Eel,8.41,6.54,29.24,5.16
Salmon,9.3,7.49,,9.44
Eel,13.58,7.1,20.37,5.99
Trout,15.28,6.55,1.07,11.35
Tilapia,23.05,7.37,37.48,6.05
Goldfish,15.31,7.76,7.62,7.61
Tilapia,25.02,7.26,45.13,4.25
,6.43,7.36,18.19,4.34
Salmon,14.13,6.63,7.52,7.54
Salmon,10.9,6.94,,8.67
Goldfish,14.58,7.61,6.98,5.65
Eel,5.12,6.85,29.49,3.03
Tilapia,,7.29,17.31,5.32
Tilapia,26.38,7.7,27.26,4.51
Salmon,9.8,7.48,6.43,6.59
Clownfish,25.89,7.83,2.09,5.44
Goldfish,19.56,7.53,13.39,7.02
Eel,24.63,6.78,11.26,
Catfish,23.12,7.47,39.51,3.91
Trout,13.9,7.22,0.73,
Eel,19.98,7.9,23.57,6.68
Tilapia,,7.82,40.69,4.56
Goldfish,15.54,8.25,5.74,6.32
Trout,16.87,7.29,7.02,9.24
Salmon,10.23,6.6,6.38,10.56
Catfish,23.88,7.42,,6.34
Clownfish,24.21,7.95,4.93,5.46
Tilapia,27.18,7.34,31.35,5.1
Bass,16.35,7.13,39.47,7.22
Goldfish,18.19,7.18,10.97,6.99
Trout,10.53,6.82,6.78,11.23
Goldfish,24.96,7.43,6.95,
Tilapia,28.75,7.82,18.85,7.83
Clownfish,24.24,8.1,3.6,6.27
Catfish,23.84,7.3,59.72,3.82
Clownfish,,,4.49,
Salmon,11.0,6.99,6.96,6.02
Trout,11.63,6.57,4.56,11.57
Catfish,21.75,7.69,83.61,6.0
Bass,21.79,6.73,21.25,5.32
Eel,15.22,7.23,19.02,5.33
Tilapia,27.71,6.98,26.15,4.94
Goldfish,14.37,7.64,19.52,5.86
Bass,20.68,6.66,,8.68
Trout,15.34,6.74,8.58,11.24
Catfish,25.35,6.29,88.64,4.27
Goldfish,,8.44,17.2,5.56
Catfish,26.93,7.4,32.75,5.06
Catfish,,7.6,5.05,4.78
Catfish,26.9,6.88,16.1,5.75
Catfish,27.39,7.17,58.91,3.31
Goldfish,21.59,7.71,6.32,6.09
Salmon,11.82,6.55,3.64,11.76
Salmon,11.93,7.46,2.01,10.97
Salmon,12.5,7.44,1.38,11.31
Trout,,7.26,1.57,
Trout,13.78,7.49,5.93,8.61
Catfish,21.83,7.78,89.43,6.51
Goldfish,24.37,7.07,18.66,6.97
Bass,,6.12,9.47,6.8
Clownfish,27.65,7.93,1.3,5.24
Trout,13.54,7.43,7.87,10.43
Bass,18.7,7.07,5.64,5.88
Salmon,8.02,6.82,2.29,10.59
Goldfish,11.42,8.21,7.14,6.77
Catfish,,6.63,92.71,3.06
Trout,17.16,7.04,5.44,7.66
Catfish,22.78,6.12,80.79,5.59
Salmon,11.37,6.89,6.14,10.42
Trout,16.99,7.2,9.92,9.82
Clownfish,27.49,8.2,4.02,5.94
Salmon,11.79,6.59,3.24,6.17
Trout,16.57,7.44,2.79,
Tilapia,,6.76,32.47,7.09
Catfish,26.15,6.67,52.86,4.86
Goldfish,19.1,7.89,15.0,7.69
Trout,10.25,7.44,6.31,11.58
Eel,5.78,6.2,23.3,6.44
Catfish,22.24,6.8,74.44,4.94
Tilapia,27.22,6.66,29.79,7.3
Eel,5.36,7.67,12.23,5.44
Bass,18.8,6.48,18.39,4.3
Tilapia,29.89,7.36,39.03,7.18
,25.91,6.62,10.05,5.14
Catfish,24.31,7.31,20.49,5.57
Clownfish,27.17,7.99,0.44,5.96
Bass,23.84,6.26,41.24,4.19
Eel,16.4,6.24,28.01,6.37
Bass,19.08,,31.74,8.62
Salmon,12.74,6.74,5.26,10.97
Salmon,9.13,7.26,7.58,6.87
Goldfish,18.95,7.97,10.44,6.06
Tilapia,26.53,6.88,34.32,7.53
Catfish,20.66,7.17,11.05,3.69
Clownfish,24.01,8.15,1.51,7.67
Eel,10.15,6.28,10.26,7.86
Catfish,24.65,6.27,11.23,3.15
Tilapia,23.18,7.6,49.54,4.16
Goldfish,10.35,8.11,11.61,6.73
Clownfish,27.47,8.14,0.03,6.38
Bass,18.7,6.53,39.36,9.94
Tilapia,26.45,6.56,11.71,4.31
Salmon,10.59,6.71,2.46,6.12
Trout,15.47,7.32,8.61,7.89
Tilapia,28.16,6.98,15.95,4.12
Eel,18.01,6.31,22.38,5.04
Eel,9.66,6.74,15.28,6.32
Goldfish,14.81,8.16,9.84,7.49
Trout,15.58,6.89,2.44,8.48
Tilapia,24.93,6.75,26.89,6.22
Salmon,14.23,7.49,6.22,11.97
Trout,17.88,7.18,6.36,9.91
Trout,11.82,7.35,3.42,10.59
Tilapia,22.18,7.69,46.38,7.47
Goldfish,,8.3,8.27,
Clownfish,25.7,8.24,2.59,5.24
Trout,,7.18,7.72,8.2
Catfish,20.21,7.8,76.57,6.01
Goldfish,21.91,8.26,17.71,7.29
Tilapia,28.3,6.81,43.09,7.29
Clownfish,24.46,8.07,4.53,6.13
Eel,22.55,6.49,29.02,7.25
Catfish,24.52,7.13,37.48,3.43
Eel,22.3,6.36,16.37,7.25
Tilapia,26.98,6.82,15.5,4.52
Trout,16.31,6.88,7.45,7.57
Trout,16.03,6.63,1.88,8.83
Trout,17.96,,6.45,11.94
Trout,16.65,7.42,0.37,10.17
Trout,12.77,6.68,4.87,11.23
Tilapia,23.65,,16.03,4.26
Goldfish,21.95,8.38,5.27,5.15
Trout,17.31,7.08,8.8,7.94
Bass,21.29,7.41,47.26,9.72
Catfish,20.26,6.04,11.93,3.17
Trout,10.04,7.36,3.39,10.32
Eel,6.49,6.04,25.38,4.23
Eel,,,16.53,7.18
Catfish,25.9,6.79,51.03,5.55
Clownfish,26.45,8.39,3.39,6.63
Tilapia,29.36,7.85,31.85,5.39
Trout,10.8,7.06,2.61,10.5
Salmon,13.95,6.61,7.12,8.06
Goldfish,24.31,8.35,11.82,7.38
Trout,16.22,6.71,7.81,
Goldfish,22.95,7.33,19.66,7.74
Eel,5.51,,27.79,7.13
Bass,20.34,7.44,8.09,6.58
Eel,5.79,7.45,27.1,7.4
Bass,24.58,6.51,23.44,5.63
Trout,10.55,7.21,8.76,7.97
Goldfish,23.79,8.45,9.41,7.22
Eel,9.72,6.72,18.32,5.54
Tilapia,25.75,7.35,15.75,4.89
Eel,21.29,7.36,13.7,4.22
Trout,15.85,7.33,8.74,11.46
Trout,10.83,6.65,8.71,8.67
Salmon,11.0,7.29,9.97,9.7
Clownfish,25.61,8.1,0.69,5.6
Trout,13.19,7.33,9.35,10.41
Trout,15.03,7.31,,11.49
Salmon,14.92,6.57,5.58,7.36
Trout,17.2,7.25,2.47,7.64
Goldfish,16.28,7.6,15.05,6.29
Clownfish,26.94,7.99,2.94,5.32
Tilapia,22.34,7.1,,7.52
Clownfish,24.06,8.3,4.51,5.24
Tilapia,23.22,7.9,25.03,6.51
Tilapia,27.65,7.61,41.66,5.07
Tilapia,23.18,7.96,31.55,4.46
Tilapia,25.01,7.42,24.68,7.81
Eel,5.98,6.02,26.52,4.29
Trout,12.98,,,7.51
Goldfish,24.49,7.86,6.97,6.48
Salmon,14.06,7.33,1.33,8.93
Tilapia,,6.71,45.94,4.61
Bass,15.35,6.22,26.92,9.63
Clownfish,27.68,8.2,4.22,7.32
Trout,,6.75,1.22,10.97
Tilapia,29.96,7.14,24.57,6.21
Tilapia,26.76,7.11,21.39,5.95
Catfish,,7.16,41.48,4.26
Catfish,26.9,7.48,57.54,3.29
Salmon,12.93,7.31,9.65,7.95
Salmon,9.19,7.12,9.79,
Trout,12.63,6.86,1.66,7.38
Bass,23.0,6.05,49.27,8.54
Trout,16.32,6.79,4.94,9.5
Eel,7.18,6.26,13.91,
Catfish,26.11,6.37,73.28,6.77
Goldfish,,8.33,18.88,6.78
Clownfish,24.63,8.31,2.43,
Tilapia,22.77,6.88,25.83,7.93
Tilapia,25.94,6.59,18.58,
Trout,,7.16,5.23,8.39
Eel,18.52,,10.07,4.53
Eel,14.28,7.88,14.27,6.54
Catfish,24.08,7.58,64.75,4.74
Clownfish,26.57,7.93,2.31,7.69
Trout,16.89,7.29,4.13,7.99
Clownfish,24.03,8.35,3.74,6.59
Clownfish,25.55,7.91,2.25,7.52
Bass,,,27.64,6.98
Clownfish,25.4,8.09,3.94,
Tilapia,,6.75,34.54,7.12
Bass,21.42,6.2,20.39,8.72
Clownfish,25.95,7.86,2.16,5.31
Bass,24.88,6.75,38.9,4.8
Trout,14.8,7.49,5.43,11.48
Catfish,25.79,6.67,9.38,6.55
Bass,20.33,6.47,13.4,8.05
Bass,24.79,6.35,,8.45
Trout,15.2,7.01,7.06,11.21
Salmon,11.55,7.14,2.39,9.49
Catfish,22.35,6.6,93.08,
Tilapia,28.58,7.86,19.47,6.86
Trout,13.39,7.15,5.64,11.15
Clownfish,27.1,8.01,2.37,7.56
Clownfish,24.88,8.03,,7.89
Eel,17.61,6.23,17.02,3.66
Clownfish,24.71,8.09,1.53,7.89
Tilapia,24.56,6.9,20.4,5.55
Eel,6.7,7.0,20.67,7.94
Trout,12.72,6.74,4.3,11.12
,24.93,7.2,8.57,7.21
Goldfish,10.47,8.04,16.99,7.51
Clownfish,25.59,8.28,3.67,7.49
Goldfish,14.59,7.41,6.84,6.84
Clownfish,26.64,8.01,3.21,7.37
Catfish,22.51,6.67,76.01,5.92
Tilapia,24.65,6.55,47.51,4.99
Trout,15.43,7.03,2.72,8.68
Goldfish,13.63,7.52,8.42,6.79
Catfish,24.98,6.07,79.29,6.96
Tilapia,29.91,7.98,24.15,5.9
Bass,22.43,6.21,25.77,8.03
Eel,7.83,7.16,19.33,4.72
Trout,10.12,6.82,9.62,11.72
Bass,22.11,6.14,27.61,5.41
Goldfish,15.87,8.17,10.06,6.2
Eel,18.14,7.0,17.52,4.9
Eel,6.0,6.58,18.81,4.93
Trout,,,6.28,11.95
Goldfish,10.88,7.71,17.34,5.84
Trout,13.1,7.13,2.1,7.81
Tilapia,27.08,7.48,46.77,7.23
Salmon,9.02,6.69,0.6,6.98
Trout,11.01,6.86,3.15,7.87
Clownfish,26.36,8.22,4.59,6.13
Bass,17.26,6.84,15.12,7.23
Salmon,8.6,7.38,7.29,9.15
Trout,17.05,6.94,4.92,8.56
Trout,16.34,6.9,1.93,10.48
Salmon,8.64,7.03,2.63,7.14
Catfish,22.19,7.22,63.36,3.78
Tilapia,25.71,7.17,,6.4
Salmon,13.71,6.76,3.11,8.51
Catfish,24.5,6.02,5.35,3.07
Tilapia,27.92,7.86,13.73,6.06
Goldfish,14.48,7.25,9.24,5.13
Tilapia,28.76,6.97,21.72,4.47
,6.43,7.19,26.71,6.99
Trout,10.89,7.23,9.34,9.06
Salmon,13.31,7.46,3.55,9.29
Clownfish,24.87,8.23,2.96,
Goldfish,20.59,8.42,13.51,6.5
,27.63,7.36,45.47,5.11
Trout,14.8,6.51,6.75,7.42
